,fire_year,report_date,county,latitude,longitude,total_acres,general_cause
0,1975,1975-03-27,Douglas,43.64596666666666,-123.79303611111109,9.0,Equipment Use
1,1975,1975-04-14,Linn,44.453025,-121.42715833333334,1.0,Miscellaneous
2,1975,1975-04-28,Deschutes,44.08755555555556,-120.6264527777778,5.0,Recreationist
3,1975,1975-05-13,Klamath,43.58040833333334,-120.42540833333334,5.0,Debris Burning
4,1975,1975-05-13,Klamath,42.797525,-120.58088611111113,116.0,Debris Burning
5,1975,1975-05-14,Grant,44.112311111111104,-118.63321388888887,30.0,Debris Burning
6,1975,1975-05-17,Deschutes,43.7832,-120.48284166666667,25.0,Recreationist
7,1975,1975-05-20,Douglas,42.84699444444445,-122.72183055555556,7.0,Miscellaneous
8,1975,1975-05-25,Jefferson,44.545786111111106,-120.76038611111113,32.0,Miscellaneous
9,1975,1975-05-26,Klamath,42.119661111111114,-121.75907222222222,4.0,Smoking
10,1975,1975-05-28,Lane,43.74371388888889,-121.04233611111113,2.0,Debris Burning
11,1975,1975-05-29,Jackson,42.35316111111111,-121.42868611111112,4.0,Debris Burning
12,1975,1975-05-30,Grant,44.35595555555556,-118.937025,1.0,Smoking
13,1975,1975-06-04,Jackson,42.16318611111111,-122.95680833333334,1.0,Arson
14,1975,1975-06-04,Douglas,43.20495,-121.11828611111113,45.0,Smoking
15,1975,1975-06-05,Lane,43.907955555555546,-123.90545,1.0,Debris Burning
16,1975,1975-06-06,Coos,43.531011111111106,-123.78728055555555,3.0,Debris Burning
17,1975,1975-06-07,Lincoln,44.29826388888889,-122.00910833333332,1.0,Debris Burning
18,1975,1975-06-08,Wasco,45.686027777777774,-120.65416944444445,2.0,Debris Burning
19,1975,1975-06-08,Coos,43.20972500000001,-123.60740833333332,150.0,Arson
20,1975,1975-06-10,Polk,44.96255,-122.2870472222222,42.0,Debris Burning
21,1975,1975-06-11,Marion,44.91948333333333,-121.49036388888891,1.0,Equipment Use
22,1975,1975-06-12,Jackson,42.67261388888889,-121.3509,2.0,Debris Burning
23,1975,1975-06-13,Clatsop,46.06099722222223,-122.29524444444445,1.0,Debris Burning
24,1975,1975-06-13,Douglas,43.64175,-122.78227222222222,2.0,Equipment Use
25,1975,1975-06-16,Polk,44.96255,-122.2870472222222,9.0,Debris Burning
26,1975,1975-06-16,Deschutes,43.71079444444445,-120.52249444444445,0.75,Lightning
27,1975,1975-06-16,Jackson,42.527325,-121.11406388888888,1.75,Miscellaneous
28,1975,1975-06-17,Wallowa,45.912513888888896,-116.65685833333332,4.0,Equipment Use
29,1975,1975-06-17,Jackson,42.26565833333333,-121.44784444444444,3.0,Lightning
30,1975,1975-06-19,Wallowa,45.41899166666666,-116.57395,1.0,Debris Burning
31,1975,1975-06-19,Grant,44.81781388888889,-118.54051666666666,12.0,Debris Burning
32,1975,1975-06-21,Umatilla,45.50743888888889,-117.26670833333333,6.0,Miscellaneous
33,1975,1975-06-25,Wasco,45.12144722222222,-120.58991944444445,57.0,Smoking
34,1975,1975-06-29,Jefferson,44.55979166666666,-120.74005833333334,3.0,Smoking
35,1975,1975-07-01,Wasco,45.683288888888896,-120.6137,35.0,Smoking
36,1975,1975-07-03,Jackson,42.512675,-121.13378055555556,4.75,Debris Burning
37,1975,1975-07-04,Douglas,43.323172222222226,-122.68428888888887,1.0,Lightning
38,1975,1975-07-04,Lake,42.83774444444445,-119.18975555555555,2.0,Lightning
39,1975,1975-07-05,Douglas,43.49735,-122.60413055555556,4.0,Lightning
40,1975,1975-07-05,Wheeler,44.440397222222224,-118.33569722222221,3.0,Lightning
41,1975,1975-07-07,Douglas,43.005586111111114,-122.68625555555555,2.0,Equipment Use
42,1975,1975-07-07,Grant,44.83003055555556,-118.78448333333333,17.0,Lightning
43,1975,1975-07-08,Douglas,43.07738611111112,-122.80268333333332,2.0,Equipment Use
44,1975,1975-07-08,Douglas,42.96200833333334,-122.84075,1.0,Miscellaneous
45,1975,1975-07-09,Lane,44.236961111111114,-122.75995833333332,1.0,Juveniles
46,1975,1975-07-11,Grant,44.91858055555554,-118.55922222222222,1.0,Lightning
47,1975,1975-07-12,Douglas,43.42495555555556,-122.68353611111112,1.0,Debris Burning
48,1975,1975-07-16,Morrow,45.26271666666667,-118.74016944444445,5.0,Lightning
49,1975,1975-07-17,Jackson,42.236725,-121.33068888888887,232.0,Equipment Use
50,1975,1975-07-17,Jackson,42.23669444444445,-122.93671388888887,2.0,Equipment Use
51,1975,1975-07-19,Benton,44.643919444444435,-122.51412777777777,3.0,Lightning
52,1975,1975-07-21,Jackson,42.55630277777777,-121.25207777777777,18.0,Miscellaneous
53,1975,1975-07-21,Polk,45.007125,-122.53118333333332,6.0,Equipment Use
54,1975,1975-07-21,Josephine,42.51297222222223,-122.60350833333332,2.0,Juveniles
55,1975,1975-07-21,Josephine,42.51300833333333,-122.62324166666669,1.0,Arson
56,1975,1975-07-22,Josephine,42.51300833333333,-122.62324166666669,7.0,Juveniles
57,1975,1975-07-22,Tillamook,45.32395833333334,-122.52691944444445,2.0,Debris Burning
58,1975,1975-07-23,Josephine,42.44047222222222,-122.60373055555556,2.0,Juveniles
59,1975,1975-07-24,Hood River,45.542,-120.23330833333334,86.0,Arson
60,1975,1975-07-24,Douglas,42.96225,-122.74345,2.0,Miscellaneous
61,1975,1975-07-24,Josephine,42.51297222222223,-122.60350833333332,2.0,Arson
62,1975,1975-07-24,Douglas,42.89177777777777,-122.463825,7.0,Recreationist
63,1975,1975-07-26,Grant,44.80459444444444,-118.45839444444445,2.0,Equipment Use
64,1975,1975-07-26,Douglas,43.75757222222222,-122.84207777777776,4.0,Railroad
65,1975,1975-07-26,Jackson,42.45444166666667,-121.21293055555556,7.0,Equipment Use
66,1975,1975-07-26,Lane,44.266411111111104,-122.59760833333333,3.0,Recreationist
67,1975,1975-07-27,Douglas,43.27925833333333,-122.80220277777778,2.0,Equipment Use
68,1975,1975-07-28,Klamath,42.65153611111111,-120.95413888888888,20.0,Debris Burning
69,1975,1975-07-29,Wasco,45.43975,-120.79596388888888,18.0,Equipment Use
70,1975,1975-07-29,Josephine,42.586438888888885,-122.40694166666668,3.0,Smoking
71,1975,1975-07-29,Douglas,42.77528888888889,-122.72163888888888,1.0,Equipment Use
72,1975,1975-07-30,Coos,43.188852777777775,-123.61479166666666,2.0,Equipment Use
73,1975,1975-07-31,Jackson,42.23634166666667,-122.95654444444445,1.0,Juveniles
74,1975,1975-07-31,Josephine,42.339463888888886,-122.66278055555556,1.0,Smoking
75,1975,1975-08-01,Jackson,42.236719444444454,-122.91763055555555,3.0,Juveniles
76,1975,1975-08-02,Hood River,45.700280555555565,-120.50725,2.0,Recreationist
77,1975,1975-08-03,Lane,44.00426944444445,-121.08156111111109,6.0,Railroad
78,1975,1975-08-03,Umatilla,45.50745,-117.39771111111112,60.0,Juveniles
79,1975,1975-08-04,Deschutes,43.783180555555546,-120.46275555555556,2.0,Miscellaneous
80,1975,1975-08-04,Tillamook,45.761455555555564,-122.14549166666669,2.0,Equipment Use
81,1975,1975-08-05,Linn,44.29407777777778,-121.34739444444445,108.0,Smoking
82,1975,1975-08-05,Douglas,42.761194444444435,-122.66200555555555,2.0,Juveniles
83,1975,1975-08-06,Tillamook,45.40944722222223,-122.24742222222223,5.0,Debris Burning
84,1975,1975-08-06,Jackson,42.39690555555556,-122.85880833333331,3.0,Juveniles
85,1975,1975-08-07,Jackson,42.71546666666667,-121.331825,2.0,Equipment Use
86,1975,1975-08-08,Crook,44.440486111111106,-119.06203611111113,3.0,Lightning
87,1975,1975-08-08,Douglas,43.177944444444435,-122.52386666666666,2.0,Recreationist
